1,あいきこつりつ,哀毀骨立,悲しみのあまりやせ細り、骨ばかりになること。父母の死などで非常に悲しむことの形容。▽「哀毀」は悲しみのあまりからだをこわす、また、やせ細る意。「骨立」はやせて骨ばかりになる意。骨だけでからだを支えるほど肉が落ちて、骨と皮ばかりになる意。
2,あくじせんり,悪事千里,悪い行為や評判は、またたくまに世間に知れ渡ること。▽一般には「悪事千里を行く」「悪事千里を走る」と用いる。
